크레딧명,참여사명,배역,기타,KMDb 영화정보관리번호
제작사,한국예술종합학교 영상원 영화과,,,K22266
제작사,한국예술종합학교 영상원 영화과,,,K19022
제작사,한국예술종합학교 영상원 영화과,,,K33035
배급사,트리필름,,,K26843
제작사,트리필름,,,K26843
제작사,비 필름,,,K28736
제작사,팔레스타인평화연대,,,A11387
제작사,㈜인디스토리,,,K30377
투자사,예술의전당,제공,,A09901
투자사,㈜kt seezn,제공,,A10484
배급사,퍼니콘,,,K27517
제작사,㈜하이컨셉픽쳐스,,,K27683
제작사,㈜더그레이트컴퍼니,,,K27683
투자사,㈜더그레이트컴퍼니,,,K27683
배급사,㈜박수엔터테인먼트,,,K27683
공동제작사,해밀픽쳐스,,,A09651
배급사,㈜트리플픽쳐스,배급/마케팅,,A09651
투자사,롯데시네마 아르떼,제공,,A08982
배급사,롯데엔터테인먼트,,,A08982
투자사,동서필름,제작투자,동서대학교,A08410
제작사,영화사 키노㈜,,,A08410
공동제작사,키노비㈜,,,A08410
제작사,씨에스 픽쳐스,,,K29387
제작사,영화사 반딧불,기획/제작,,K20826
투자사,㈜블러썸픽쳐스,제공,,K20826
투자사,kth,공동제공,,K20826
제작사,빅디크루,,,K27191
제작사,㈜하늬바람,,,K27289
배급사,㈜드림팩트엔터테인먼트,,,K27359
투자사,스토리위즈,제공,,K29140
투자사,바로엔터테인먼트,제공,,K29140
투자사,㈜더그레이트 컴퍼니,제공,,K22848
공동제작사,포레스트필름,,,K25198
제작사,한국예술종합학교 영상원 영화과,,,K33020
배급사,이모션 스튜디오,국내/해외 배급,,K28807
제작사,한국예술종합학교 영상원 영화과,,,K19917
제작사,한국예술종합학교 영상원 영화과,,,K29315
제작사,한국예술종합학교 영상원 영화과,,,K20089
투자사,타임와이즈인베스트먼트㈜,공동제공,,K28713
제작사,TPS컴퍼니,,,K24327
제작사,CJ ENM,,,K24327
배급사,CJ ENM,,,K24327
투자사,그린나래미디어㈜,,,K22616
배급사,㈜트리플픽쳐스,배급,,K29130
배급사,㈜질리언뷰,디지털배급,,K29130
제작사,더 핑크퐁 컴퍼니,,,A11001
제작사,CGV ICECON,,,A11001
투자사,시네마엘,제공,,A09673
